               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12094,           0.0059168,            0.040323,          0.00087493,             0.14125,          0.00078291,          0.00022651,             0.10639,            0.004006,            0.040751,              0.0838,              0.0018,              0.0018
                   1,             0.11902,           0.0073562,            0.033241,          0.00095617,             0.17144,          0.00086842,          0.00021865,             0.10538,            0.004161,             0.03954,            0.066627,           0.0036267,           0.0036267
                   2,             0.10364,           0.0085241,            0.026197,           0.0014408,             0.28771,           0.0019795,          0.00048041,             0.10172,           0.0045294,            0.036328,            0.049378,           0.0053782,           0.0053782
                   3,             0.10436,            0.010456,            0.020965,             0.00144,             0.30549,           0.0021743,          0.00052848,            0.096314,            0.005197,            0.035921,            0.032054,           0.0070545,           0.0070545
                   4,            0.097774,            0.011418,            0.018346,           0.0057426,             0.12887,           0.0054699,            0.001282,            0.098477,           0.0051503,            0.034832,            0.014656,           0.0086555,           0.0086555
