               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11728,           0.0055197,             0.03958,          0.00083696,             0.14814,          0.00086537,          0.00024262,             0.10621,            0.003698,             0.03947,              0.0739,              0.0029,              0.0029
                   1,             0.10705,           0.0066119,            0.030214,            0.001133,              0.2152,           0.0014183,          0.00035414,             0.10098,            0.004302,            0.034459,            0.046783,           0.0057832,           0.0057832
                   2,             0.10606,            0.007963,            0.023055,            0.001566,             0.33583,           0.0038227,          0.00087691,            0.095677,           0.0048977,            0.029648,            0.019548,           0.0085476,           0.0085476
                   3,             0.10143,           0.0091507,            0.017645,           0.0021859,             0.43089,           0.0082456,           0.0016352,            0.098308,           0.0049966,            0.029799,            0.009406,            0.009406,            0.009406
                   4,            0.093305,            0.010131,            0.012657,             0.65588,             0.17051,             0.12243,            0.037968,            0.089435,           0.0053877,            0.029954,            0.009406,            0.009406,            0.009406
                   5,            0.087665,            0.010331,            0.011151,              0.6997,              0.2591,             0.18252,            0.047172,            0.082593,           0.0052002,            0.028748,            0.009208,            0.009208,            0.009208
                   6,            0.078042,           0.0087856,           0.0097686,             0.33275,             0.23103,            0.088333,            0.021314,            0.084786,           0.0054393,            0.027158,             0.00901,             0.00901,             0.00901
                   7,            0.070401,           0.0081487,           0.0095221,             0.69227,             0.28652,             0.18984,            0.054282,            0.079935,           0.0055014,            0.026293,            0.008812,            0.008812,            0.008812
                   8,            0.063225,           0.0083971,           0.0095179,             0.43026,             0.47105,             0.21819,            0.073671,            0.077641,           0.0052175,            0.028988,            0.008614,            0.008614,            0.008614
                   9,            0.060696,           0.0084482,           0.0082376,             0.22634,             0.54554,             0.29007,            0.098752,            0.072064,           0.0050963,            0.028151,            0.008416,            0.008416,            0.008416
                  10,            0.055373,           0.0082319,           0.0076576,             0.20819,             0.40016,             0.20959,             0.07613,            0.073153,           0.0051415,            0.027946,            0.008218,            0.008218,            0.008218
                  11,            0.056633,           0.0081085,           0.0069478,             0.35544,             0.61557,             0.38202,             0.15429,            0.067929,           0.0050668,            0.028292,             0.00802,             0.00802,             0.00802
                  12,            0.052494,           0.0076623,            0.006914,             0.47836,             0.68418,             0.47238,             0.22814,            0.064951,           0.0049043,            0.028355,            0.007822,            0.007822,            0.007822
                  13,            0.049456,           0.0077207,           0.0067585,             0.47966,              0.7216,             0.44997,             0.24881,            0.064771,           0.0048597,            0.028077,            0.007624,            0.007624,            0.007624
                  14,            0.047497,            0.008148,           0.0066101,             0.51125,             0.72385,              0.5016,             0.23859,            0.065547,           0.0047795,            0.027879,            0.007426,            0.007426,            0.007426
                  15,            0.044729,           0.0077593,           0.0064204,             0.48093,             0.68802,             0.45578,             0.19301,            0.065705,           0.0048433,            0.028344,            0.007228,            0.007228,            0.007228
                  16,            0.045952,           0.0075581,           0.0056233,              0.6122,             0.73816,             0.53257,             0.28197,             0.06283,           0.0046428,            0.028344,             0.00703,             0.00703,             0.00703
                  17,            0.044696,           0.0075465,           0.0057155,             0.62579,             0.75299,             0.56061,             0.28434,            0.060933,           0.0046418,            0.028834,            0.006832,            0.006832,            0.006832
                  18,            0.042194,           0.0076528,            0.005921,              0.5775,              0.7158,             0.49492,             0.25997,            0.060634,           0.0046442,            0.029138,            0.006634,            0.006634,            0.006634
                  19,            0.038393,           0.0068794,           0.0048332,             0.64101,             0.75118,              0.5639,             0.29944,            0.059686,           0.0045816,            0.029175,            0.006436,            0.006436,            0.006436
                  20,            0.035987,           0.0069957,           0.0051887,             0.66691,             0.75645,             0.57054,             0.27746,            0.061967,           0.0044375,             0.02929,            0.006238,            0.006238,            0.006238
                  21,            0.036672,           0.0066645,           0.0052836,              0.5141,             0.66232,             0.47447,              0.2476,            0.061698,            0.004574,            0.029282,             0.00604,             0.00604,             0.00604
                  22,            0.037369,           0.0069192,           0.0051519,             0.65937,             0.74389,             0.56104,             0.28795,            0.059836,           0.0044463,            0.028311,            0.005842,            0.005842,            0.005842
                  23,            0.037333,           0.0066264,           0.0049063,             0.67547,             0.76738,              0.5823,             0.28158,            0.058204,           0.0045789,            0.027689,            0.005644,            0.005644,            0.005644
                  24,            0.035094,           0.0065528,           0.0048069,             0.64807,             0.75191,             0.55468,             0.26939,            0.060159,           0.0043765,            0.027441,            0.005446,            0.005446,            0.005446
                  25,            0.034883,           0.0064813,           0.0046849,             0.66848,             0.76062,             0.58262,             0.32995,            0.057732,           0.0043969,            0.027497,            0.005248,            0.005248,            0.005248
                  26,            0.033138,           0.0062311,           0.0046125,             0.66456,             0.78391,             0.58715,             0.33212,            0.057224,           0.0043755,            0.027525,             0.00505,             0.00505,             0.00505
                  27,            0.033103,           0.0063947,           0.0046455,             0.66629,             0.78251,             0.58743,             0.36543,            0.055089,            0.004365,            0.027492,            0.004852,            0.004852,            0.004852
                  28,            0.029467,           0.0061184,           0.0042073,             0.66808,             0.78021,             0.59046,             0.35396,             0.05555,           0.0042325,            0.027563,            0.004654,            0.004654,            0.004654
                  29,             0.03194,            0.005987,           0.0048841,             0.67707,             0.77856,             0.59088,               0.364,            0.055964,           0.0042557,            0.027646,            0.004456,            0.004456,            0.004456
                  30,            0.035887,           0.0061105,           0.0045046,             0.66921,             0.78126,             0.58736,             0.36287,            0.054557,           0.0043561,             0.02774,            0.004258,            0.004258,            0.004258
                  31,            0.029278,           0.0060543,           0.0042638,             0.67801,             0.78143,             0.59126,             0.33646,            0.055183,           0.0042586,            0.027763,             0.00406,             0.00406,             0.00406
                  32,            0.029501,              0.0061,           0.0045304,             0.67374,              0.7805,              0.5876,             0.38058,            0.053834,           0.0041897,            0.027836,            0.003862,            0.003862,            0.003862
                  33,            0.028012,           0.0058956,           0.0039108,             0.67349,             0.78088,             0.58789,             0.34093,            0.056403,           0.0042017,            0.027762,            0.003664,            0.003664,            0.003664
                  34,            0.027759,           0.0059177,           0.0037457,              0.6786,             0.78677,              0.5889,             0.37894,            0.055667,           0.0042415,            0.027876,            0.003466,            0.003466,            0.003466
                  35,            0.025791,            0.005708,           0.0036742,             0.67556,             0.78509,             0.58937,             0.34215,            0.054995,           0.0042825,            0.028037,            0.003268,            0.003268,            0.003268
                  36,            0.027024,           0.0054408,           0.0035395,             0.67439,             0.78936,             0.59005,             0.39485,            0.054429,            0.004164,            0.028152,             0.00307,             0.00307,             0.00307
                  37,            0.025075,           0.0052834,           0.0035371,             0.67114,             0.78821,             0.58837,             0.37579,            0.054141,           0.0041625,            0.028145,            0.002872,            0.002872,            0.002872
                  38,            0.026214,           0.0055662,           0.0038137,             0.67409,             0.78724,              0.5887,             0.41341,            0.052756,           0.0041643,            0.028245,            0.002674,            0.002674,            0.002674
                  39,            0.026049,           0.0055731,           0.0035135,             0.67601,             0.78481,             0.58923,             0.40846,            0.052923,           0.0041822,            0.028253,            0.002476,            0.002476,            0.002476
                  40,            0.023653,           0.0052237,           0.0038858,             0.67801,             0.78515,             0.58733,             0.39387,            0.053027,            0.004238,            0.028361,            0.002278,            0.002278,            0.002278
                  41,             0.02292,           0.0054785,           0.0037005,              0.6746,             0.78702,             0.58661,             0.40632,            0.053247,           0.0041436,            0.028442,             0.00208,             0.00208,             0.00208
                  42,            0.023319,           0.0056081,           0.0038642,             0.67362,              0.7889,             0.58473,             0.41859,            0.051922,           0.0041177,            0.028483,            0.001882,            0.001882,            0.001882
                  43,            0.024569,           0.0053907,           0.0040113,             0.67359,               0.787,             0.58867,             0.41095,             0.05241,           0.0041709,            0.028505,            0.001684,            0.001684,            0.001684
                  44,            0.023054,           0.0054905,           0.0034772,             0.67529,             0.79322,             0.58878,             0.43199,            0.051827,           0.0041259,            0.028606,            0.001486,            0.001486,            0.001486
                  45,            0.022999,           0.0050691,           0.0032651,             0.67475,              0.7928,             0.58872,             0.41572,            0.052421,           0.0041321,            0.028711,            0.001288,            0.001288,            0.001288
                  46,            0.021157,           0.0050702,            0.003536,             0.67248,             0.79086,             0.58923,              0.4098,            0.052024,           0.0041301,            0.028691,             0.00109,             0.00109,             0.00109
                  47,            0.022169,            0.005137,           0.0042276,             0.67211,             0.79175,             0.58792,             0.42088,            0.052211,           0.0041054,            0.028712,            0.000892,            0.000892,            0.000892
                  48,             0.02003,           0.0050393,           0.0032901,             0.67368,             0.79226,             0.58776,              0.4271,            0.051761,           0.0041281,            0.028698,            0.000694,            0.000694,            0.000694
                  49,            0.020685,           0.0051955,           0.0035636,             0.67395,             0.79286,             0.58778,             0.43084,            0.051481,           0.0041761,            0.028757,            0.000496,            0.000496,            0.000496
