               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092669,           0.0025489,            0.034955,          0.00015972,            0.076923,           0.0001273,          4.6816e-05,            0.094854,           0.0015113,            0.037849,              0.0829,              0.0019,              0.0019
                   1,            0.099213,            0.002923,            0.036456,           0.0001199,            0.061538,          0.00012699,          1.9104e-05,            0.091027,           0.0016824,            0.033101,            0.064823,           0.0038228,           0.0038228
                   2,            0.090997,             0.00309,            0.031122,          0.00017086,            0.088034,           0.0011696,          0.00024646,            0.086701,           0.0018669,            0.028293,            0.046666,           0.0056664,           0.0056664
                   3,            0.089829,           0.0030766,            0.028721,          0.00034788,             0.18718,           0.0015005,          0.00029352,            0.082179,           0.0020644,            0.024525,            0.028431,           0.0074307,           0.0074307
                   4,            0.083237,           0.0032112,            0.022475,          0.00020103,             0.15385,          0.00046541,          8.1538e-05,            0.081789,           0.0023605,            0.019737,            0.010116,           0.0091159,           0.0091159
                   5,            0.083665,           0.0037069,            0.021298,          0.00023228,             0.16496,          0.00084741,          0.00018886,            0.080158,           0.0024385,            0.017507,             0.00901,             0.00901,             0.00901
                   6,            0.080449,           0.0041274,            0.016202,           0.0002267,             0.14103,          0.00023275,          4.4896e-05,            0.081194,           0.0025416,            0.015736,             0.00901,             0.00901,             0.00901
                   7,            0.078678,           0.0040673,            0.014984,          0.00054223,                 0.3,           0.0010205,          0.00020365,            0.073918,           0.0027971,            0.014778,            0.008812,            0.008812,            0.008812
                   8,            0.074183,           0.0042343,            0.012861,          0.00065411,             0.32906,          0.00082387,           0.0002235,            0.072728,           0.0028888,            0.013788,            0.008614,            0.008614,            0.008614
                   9,            0.076265,           0.0043828,            0.011156,          0.00094403,             0.16752,           0.0012422,          0.00030022,            0.069404,           0.0030791,            0.012357,            0.008416,            0.008416,            0.008416
                  10,            0.073857,           0.0046715,            0.010959,           0.0012807,            0.015385,           0.0020981,          0.00033419,            0.067113,           0.0031928,             0.01181,            0.008218,            0.008218,            0.008218
                  11,             0.07022,           0.0048614,           0.0096193,          0.00063746,             0.34017,           0.0015554,          0.00042643,            0.063469,           0.0033437,            0.010907,             0.00802,             0.00802,             0.00802
                  12,            0.075479,           0.0055329,            0.011397,          0.00079065,                 0.4,           0.0020538,           0.0007044,            0.066413,           0.0032266,            0.010485,            0.007822,            0.007822,            0.007822
                  13,            0.070222,           0.0058509,             0.01042,          0.00071661,                 0.4,           0.0058486,           0.0017481,            0.063617,           0.0031366,            0.009822,            0.007624,            0.007624,            0.007624
                  14,            0.068517,           0.0051893,            0.010255,          0.00069465,                 0.4,            0.015123,           0.0033819,            0.060132,           0.0031189,           0.0090937,            0.007426,            0.007426,            0.007426
                  15,            0.065822,           0.0045202,            0.010097,          0.00068217,                 0.4,            0.015651,            0.004185,            0.056828,           0.0031364,            0.008439,            0.007228,            0.007228,            0.007228
                  16,            0.058054,            0.004818,           0.0088966,          0.00074478,                0.41,             0.02087,           0.0071633,            0.058373,           0.0031442,           0.0077847,             0.00703,             0.00703,             0.00703
                  17,             0.07118,           0.0053165,           0.0093581,           0.0007261,             0.40667,            0.029648,            0.010733,            0.063932,           0.0030534,           0.0075994,            0.006832,            0.006832,            0.006832
                  18,            0.066476,           0.0056921,           0.0085177,            0.015625,             0.35556,             0.14517,            0.055814,            0.050391,           0.0033943,           0.0077062,            0.006634,            0.006634,            0.006634
                  19,            0.052706,           0.0050063,           0.0099056,            0.012618,             0.36667,             0.20485,            0.063774,            0.049859,           0.0033552,           0.0075487,            0.006436,            0.006436,            0.006436
                  20,            0.053035,           0.0051867,           0.0094728,             0.61717,                 0.2,             0.25601,             0.11645,            0.050176,           0.0033174,           0.0072002,            0.006238,            0.006238,            0.006238
                  21,            0.056269,           0.0056701,           0.0084357,             0.88634,                 0.2,             0.29977,             0.14878,            0.051274,           0.0032999,           0.0069242,             0.00604,             0.00604,             0.00604
                  22,            0.059385,           0.0058695,           0.0076025,             0.93863,                 0.2,             0.31555,             0.10374,            0.051561,           0.0031928,           0.0067127,            0.005842,            0.005842,            0.005842
                  23,            0.047914,           0.0056736,           0.0073013,             0.97239,                 0.2,             0.36293,             0.16996,            0.042604,           0.0033589,            0.006516,            0.005644,            0.005644,            0.005644
                  24,            0.051221,           0.0053102,           0.0075562,             0.94688,             0.18462,             0.34138,             0.11497,            0.048505,           0.0029883,            0.006643,            0.005446,            0.005446,            0.005446
