               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12094,           0.0059168,            0.040323,          0.00087493,             0.14125,          0.00078291,          0.00022651,             0.10639,            0.004006,            0.040751,              0.0838,              0.0018,              0.0018
                   1,             0.11902,           0.0073562,            0.033241,          0.00095617,             0.17144,          0.00086842,          0.00021865,             0.10538,            0.004161,             0.03954,            0.066627,           0.0036267,           0.0036267
                   2,             0.10364,           0.0085241,            0.026197,           0.0014408,             0.28771,           0.0019795,          0.00048041,             0.10172,           0.0045294,            0.036328,            0.049378,           0.0053782,           0.0053782
                   3,             0.10436,            0.010456,            0.020965,             0.00144,             0.30549,           0.0021743,          0.00052848,            0.096314,            0.005197,            0.035921,            0.032054,           0.0070545,           0.0070545
                   4,            0.097774,            0.011418,            0.018346,           0.0057426,             0.12887,           0.0054699,            0.001282,            0.098477,           0.0051503,            0.034832,            0.014656,           0.0086555,           0.0086555
                   5,            0.095599,            0.012005,              0.0174,             0.30512,             0.10938,            0.042637,            0.010198,            0.091614,           0.0056653,            0.033834,             0.00901,             0.00901,             0.00901
                   6,            0.084328,            0.010575,            0.015491,             0.88216,             0.17788,             0.12686,            0.028196,            0.090501,           0.0059682,            0.033984,             0.00901,             0.00901,             0.00901
                   7,            0.079418,           0.0095398,             0.01288,             0.83466,             0.17548,            0.085777,            0.035019,            0.090157,           0.0089278,            0.035224,            0.008812,            0.008812,            0.008812
                   8,            0.074504,           0.0085114,            0.011222,             0.37125,             0.15986,             0.12579,            0.055937,            0.096088,           0.0089082,            0.034777,            0.008614,            0.008614,            0.008614
                   9,            0.072222,           0.0084976,            0.011197,             0.38175,             0.19111,             0.14147,            0.072998,            0.087818,           0.0078491,            0.034168,            0.008416,            0.008416,            0.008416
                  10,            0.063814,           0.0085083,            0.010616,             0.64073,             0.19231,             0.15425,            0.056737,            0.080835,            0.009872,            0.033263,            0.008218,            0.008218,            0.008218
                  11,            0.061859,            0.008794,           0.0090549,             0.81798,               0.125,            0.077352,            0.017927,            0.095781,            0.010875,            0.031904,             0.00802,             0.00802,             0.00802
                  12,            0.062478,           0.0088479,           0.0092359,             0.34154,             0.17551,             0.12665,               0.072,            0.079892,            0.010445,            0.032333,            0.007822,            0.007822,            0.007822
                  13,            0.059149,           0.0086765,           0.0086645,             0.35022,             0.19231,              0.1252,            0.058625,            0.081393,            0.011663,            0.032037,            0.007624,            0.007624,            0.007624
                  14,            0.056441,           0.0092354,           0.0083443,             0.38971,             0.23602,             0.16949,            0.079342,            0.080345,            0.012233,            0.032023,            0.007426,            0.007426,            0.007426
                  15,            0.053724,           0.0088618,           0.0080571,             0.36182,             0.23216,             0.15778,            0.085432,            0.077654,            0.013931,            0.031972,            0.007228,            0.007228,            0.007228
                  16,              0.0504,           0.0090396,           0.0073822,             0.26149,              0.3041,             0.23195,             0.10242,            0.073863,            0.013587,             0.03195,             0.00703,             0.00703,             0.00703
                  17,            0.053142,            0.008233,           0.0065417,             0.25568,             0.33088,             0.22873,             0.12929,            0.071938,            0.012668,            0.032583,            0.006832,            0.006832,            0.006832
