               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12421,            0.010923,            0.042615,           0.0027595,             0.13953,           0.0027736,          0.00059304,             0.11655,           0.0087718,             0.03753,              0.0829,              0.0019,              0.0019
                   1,             0.10876,            0.013973,            0.028181,             0.54602,             0.10697,            0.038945,           0.0088364,             0.10268,            0.010546,            0.029848,            0.064823,           0.0038228,           0.0038228
                   2,            0.095053,            0.017275,            0.020784,             0.52051,              0.1262,            0.022475,           0.0068437,             0.10415,            0.010849,            0.025126,            0.046666,           0.0056664,           0.0056664
                   3,            0.091908,            0.018325,            0.015766,             0.25576,             0.38842,             0.22867,            0.049411,             0.10129,           0.0092694,            0.021902,            0.028431,           0.0074307,           0.0074307
                   4,            0.085346,            0.015927,            0.014721,               0.313,             0.47156,             0.32514,            0.069464,             0.08975,            0.010586,            0.020812,            0.010116,           0.0091159,           0.0091159
                   5,            0.075175,            0.015043,            0.012737,             0.14455,             0.45558,             0.14614,            0.038925,            0.093195,            0.012284,            0.019198,             0.00901,             0.00901,             0.00901
                   6,            0.072167,            0.014285,            0.010525,             0.36492,             0.70424,             0.39373,             0.16632,             0.07833,            0.010815,            0.018562,             0.00901,             0.00901,             0.00901
                   7,            0.064768,             0.01383,           0.0099018,             0.27747,             0.71334,             0.29221,             0.10675,            0.075318,            0.009999,            0.017844,            0.008812,            0.008812,            0.008812
                   8,            0.059182,            0.013658,           0.0093742,             0.22708,             0.55916,             0.23603,            0.087809,            0.077802,           0.0088979,            0.016847,            0.008614,            0.008614,            0.008614
                   9,            0.055394,             0.01331,           0.0078268,              0.2936,             0.72996,             0.31371,             0.14393,            0.070417,           0.0091142,            0.017018,            0.008416,            0.008416,            0.008416
                  10,            0.051907,            0.012035,           0.0073208,              0.3198,             0.72788,             0.34704,             0.13665,            0.067804,           0.0091502,            0.017254,            0.008218,            0.008218,            0.008218
                  11,            0.048566,            0.011464,           0.0066503,             0.46746,             0.76227,              0.4701,             0.17227,            0.072039,           0.0084863,            0.017201,             0.00802,             0.00802,             0.00802
                  12,            0.049555,            0.011479,           0.0067869,             0.39817,             0.70992,             0.41685,             0.20242,             0.06315,           0.0086143,            0.017251,            0.007822,            0.007822,            0.007822
                  13,            0.044626,            0.011144,           0.0063259,              0.5563,             0.75962,             0.53879,             0.33769,            0.066396,            0.008453,            0.017106,            0.007624,            0.007624,            0.007624
                  14,            0.044896,            0.011066,           0.0062255,             0.63032,              0.7816,             0.56709,             0.24417,             0.06004,           0.0083658,            0.016804,            0.007426,            0.007426,            0.007426
                  15,            0.041581,            0.010556,           0.0061409,             0.59086,             0.75854,             0.56496,             0.29053,            0.060017,           0.0079778,            0.016615,            0.007228,            0.007228,            0.007228
                  16,            0.039872,            0.010303,           0.0055467,             0.54952,             0.75055,             0.53778,             0.30625,            0.061509,           0.0077438,            0.016313,             0.00703,             0.00703,             0.00703
                  17,             0.04176,            0.010193,            0.005544,             0.55827,             0.77997,             0.52543,             0.29584,            0.055072,           0.0076597,            0.016355,            0.006832,            0.006832,            0.006832
                  18,            0.039772,           0.0096962,           0.0052559,                0.55,             0.73921,             0.54145,             0.28857,            0.055617,           0.0078908,            0.016411,            0.006634,            0.006634,            0.006634
