               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091793,           0.0028834,             0.03373,          4.0264e-05,            0.013678,          2.4813e-05,          3.0439e-06,             0.08523,            0.002148,            0.029167,              0.0705,           0.0032778,           0.0032778
                   1,            0.082072,           0.0033026,            0.026558,          0.00024525,             0.10264,          0.00018889,          3.5899e-05,            0.079547,           0.0027172,            0.021709,            0.040369,           0.0064802,           0.0064802
                   2,            0.078516,           0.0042233,            0.019044,          0.00036799,             0.19529,          0.00045686,          0.00010204,            0.073971,           0.0030627,             0.01525,            0.010106,           0.0095506,           0.0095506
                   3,            0.079795,           0.0045357,            0.012481,          0.00067841,             0.33322,           0.0015747,          0.00038589,            0.070815,            0.003082,            0.010033,            0.009406,            0.009406,            0.009406
                   4,            0.073585,           0.0048943,            0.011277,             0.92395,            0.031034,            0.074694,            0.023965,            0.057357,           0.0036757,             0.00828,            0.009406,            0.009406,            0.009406
                   5,            0.064555,           0.0046757,            0.009095,             0.87226,             0.12414,            0.079063,            0.011977,            0.058361,           0.0035091,            0.006498,            0.009208,            0.009208,            0.009208
                   6,            0.058919,           0.0047938,            0.008345,             0.90453,             0.17931,             0.16699,            0.047945,            0.052404,           0.0035452,           0.0047689,             0.00901,             0.00901,             0.00901
                   7,            0.055688,           0.0052264,           0.0074742,             0.92588,              0.1874,             0.26693,             0.10174,            0.045917,           0.0036861,           0.0041724,            0.008812,            0.008812,            0.008812
                   8,            0.054468,           0.0056415,           0.0064605,             0.99092,              0.1931,             0.39807,               0.168,            0.042533,           0.0037285,           0.0037543,            0.008614,            0.008614,            0.008614
                   9,            0.047745,           0.0051244,           0.0058143,             0.49035,             0.28377,             0.42208,             0.18769,            0.040004,           0.0034121,           0.0032118,            0.008416,            0.008416,            0.008416
                  10,            0.052451,           0.0050367,           0.0057675,             0.74829,             0.40278,             0.49979,             0.21423,            0.038613,           0.0033546,           0.0028482,            0.008218,            0.008218,            0.008218
                  11,             0.04446,           0.0048336,           0.0045552,             0.78784,             0.50664,             0.62668,             0.26141,            0.031368,           0.0034359,           0.0025293,             0.00802,             0.00802,             0.00802
                  12,            0.042558,           0.0052002,           0.0043137,             0.75634,              0.5308,             0.66289,             0.32622,            0.033071,           0.0030884,           0.0022297,            0.007822,            0.007822,            0.007822
