               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11281,           0.0033142,            0.041885,          0.00013689,            0.035714,          8.3003e-05,          1.6056e-05,            0.092156,           0.0020138,            0.037505,              0.0847,              0.0017,              0.0017
                   1,            0.098623,           0.0033823,            0.036535,          0.00018262,            0.047619,          0.00013229,          2.9279e-05,            0.089231,           0.0022844,            0.031657,            0.068431,           0.0034307,           0.0034307
                   2,            0.083147,            0.003344,            0.029598,          0.00018314,            0.047619,          0.00011101,          2.6075e-05,             0.08423,           0.0026157,            0.026557,             0.05209,           0.0050901,           0.0050901
                   3,            0.082522,           0.0036827,            0.026188,          0.00023382,            0.071429,          0.00020765,          6.8763e-05,            0.084864,           0.0027926,            0.022164,            0.035678,           0.0066783,           0.0066783
                   4,            0.085057,           0.0037789,             0.02315,          0.00037273,             0.11905,          0.00040514,          0.00013819,            0.082334,           0.0029109,            0.020689,            0.019195,           0.0081951,           0.0081951
                   5,            0.082044,           0.0042921,            0.023056,          0.00035688,             0.11905,          0.00027521,          4.6415e-05,            0.075767,           0.0035029,             0.02036,             0.00901,             0.00901,             0.00901
                   6,            0.090771,           0.0052735,            0.023444,          0.00053139,             0.19048,          0.00049621,          9.6086e-05,             0.07328,           0.0036768,            0.018119,             0.00901,             0.00901,             0.00901
                   7,            0.083248,           0.0044772,            0.019296,          0.00053777,             0.21429,          0.00044938,          9.1874e-05,            0.071751,           0.0038282,             0.01731,            0.008812,            0.008812,            0.008812
                   8,            0.077861,           0.0050998,            0.016058,          0.00070036,             0.28571,           0.0013733,          0.00028145,            0.070837,           0.0037966,            0.013676,            0.008614,            0.008614,            0.008614
                   9,            0.076939,           0.0052879,            0.014978,          0.00054315,              0.2381,           0.0017909,          0.00031762,             0.07224,           0.0038125,            0.012424,            0.008416,            0.008416,            0.008416
                  10,            0.075967,           0.0052835,            0.013524,          0.00058306,             0.27381,           0.0016613,          0.00031361,            0.066236,           0.0042309,            0.010423,            0.008218,            0.008218,            0.008218
                  11,            0.075781,           0.0059109,            0.013669,          0.00048576,              0.2619,           0.0017767,          0.00037598,            0.064268,           0.0043425,           0.0098295,             0.00802,             0.00802,             0.00802
                  12,            0.081305,           0.0055972,            0.012674,          0.00090709,             0.40476,            0.014975,           0.0021296,            0.061594,           0.0045064,           0.0091945,            0.007822,            0.007822,            0.007822
                  13,            0.066378,           0.0059477,            0.010617,          0.00082269,             0.15476,           0.0024108,          0.00036095,            0.073936,            0.003782,           0.0091317,            0.007624,            0.007624,            0.007624
                  14,            0.075911,           0.0060087,             0.01042,             0.51813,            0.035714,            0.010986,           0.0020552,            0.069786,           0.0039486,           0.0084414,            0.007426,            0.007426,            0.007426
                  15,            0.061779,           0.0048955,            0.011182,             0.52571,            0.095238,            0.018347,           0.0028329,            0.067386,           0.0038543,           0.0079784,            0.007228,            0.007228,            0.007228
                  16,            0.068507,           0.0060877,             0.01087,             0.82617,            0.071429,            0.054362,            0.014125,            0.060258,           0.0042595,           0.0076764,             0.00703,             0.00703,             0.00703
                  17,            0.066997,           0.0059407,            0.009693,          0.00096272,             0.45238,           0.0038603,           0.0010077,            0.067895,           0.0037808,           0.0074468,            0.006832,            0.006832,            0.006832
                  18,             0.07422,            0.007174,            0.010038,             0.57179,            0.071429,            0.086731,            0.022914,            0.057121,           0.0043768,           0.0070993,            0.006634,            0.006634,            0.006634
                  19,            0.061819,            0.006481,            0.010033,             0.81491,             0.19048,             0.11758,            0.040376,            0.053367,           0.0043674,           0.0069274,            0.006436,            0.006436,            0.006436
                  20,            0.063974,           0.0065161,           0.0095308,             0.82898,              0.2381,             0.16605,            0.055523,            0.052088,           0.0045764,           0.0066612,            0.006238,            0.006238,            0.006238
                  21,            0.063102,           0.0059832,           0.0093285,             0.84207,             0.15476,             0.13393,             0.04901,            0.054094,           0.0043608,           0.0064163,             0.00604,             0.00604,             0.00604
                  22,            0.062205,           0.0069908,           0.0080212,             0.89335,             0.22407,             0.23688,            0.073314,            0.048559,           0.0045237,           0.0063183,            0.005842,            0.005842,            0.005842
                  23,            0.059518,           0.0064692,           0.0097269,             0.88881,             0.19329,             0.32714,             0.12684,            0.044381,           0.0045264,            0.006058,            0.005644,            0.005644,            0.005644
                  24,            0.051598,           0.0064192,           0.0083398,             0.90612,             0.21784,             0.36729,             0.15048,            0.046517,           0.0043117,           0.0059474,            0.005446,            0.005446,            0.005446
                  25,            0.053475,           0.0059833,           0.0083718,              0.9128,             0.22233,             0.41306,             0.13127,            0.043302,           0.0043021,           0.0058059,            0.005248,            0.005248,            0.005248
                  26,            0.058461,           0.0060574,           0.0083289,             0.91486,             0.20238,             0.39633,             0.17947,            0.039612,           0.0042498,           0.0056135,             0.00505,             0.00505,             0.00505
                  27,            0.052594,           0.0065414,           0.0090244,             0.50135,             0.32143,             0.36064,             0.14245,            0.038914,           0.0042231,           0.0054199,            0.004852,            0.004852,            0.004852
                  28,            0.051398,            0.006265,           0.0083267,              0.1588,             0.39286,             0.33186,             0.12097,            0.040618,           0.0040501,           0.0051629,            0.004654,            0.004654,            0.004654
                  29,            0.059933,           0.0069188,           0.0065129,             0.20312,             0.46429,             0.41083,             0.17669,            0.035872,           0.0042026,           0.0050348,            0.004456,            0.004456,            0.004456
                  30,            0.048351,           0.0062259,           0.0068981,             0.23842,             0.49507,             0.45138,             0.20798,            0.037785,           0.0040849,           0.0050882,            0.004258,            0.004258,            0.004258
                  31,            0.049007,           0.0063061,           0.0069493,             0.43022,                 0.5,             0.50765,             0.23124,            0.033407,           0.0041028,           0.0049562,             0.00406,             0.00406,             0.00406
                  32,            0.042182,            0.006028,           0.0080218,             0.41354,                 0.5,             0.51706,             0.22167,            0.032857,           0.0040629,           0.0048236,            0.003862,            0.003862,            0.003862
                  33,            0.044546,           0.0061378,           0.0061521,             0.48999,             0.51396,             0.61199,              0.2767,            0.032807,           0.0039934,            0.004656,            0.003664,            0.003664,            0.003664
                  34,            0.047782,           0.0059203,           0.0064512,             0.28919,             0.54167,             0.57461,             0.26526,            0.038456,           0.0037264,           0.0043593,            0.003466,            0.003466,            0.003466
                  35,            0.044604,           0.0058817,           0.0075996,              0.4672,             0.53026,             0.66788,             0.30115,            0.033865,           0.0038146,            0.004293,            0.003268,            0.003268,            0.003268
                  36,             0.04146,           0.0062894,           0.0059179,             0.61956,             0.57292,             0.64802,             0.32902,            0.031417,           0.0037814,           0.0040917,             0.00307,             0.00307,             0.00307
                  37,            0.040807,           0.0053102,           0.0053683,             0.37133,             0.59341,             0.68727,             0.36478,            0.030004,           0.0037743,           0.0040723,            0.002872,            0.002872,            0.002872
                  38,            0.042765,           0.0046934,             0.00587,             0.65416,             0.59375,              0.6723,             0.32753,             0.02954,           0.0037622,           0.0040145,            0.002674,            0.002674,            0.002674
                  39,            0.043267,           0.0059471,           0.0046081,             0.68805,             0.59616,             0.66692,             0.31255,            0.028635,           0.0037396,           0.0039385,            0.002476,            0.002476,            0.002476
                  40,            0.042808,           0.0067827,           0.0049726,             0.69026,             0.59375,             0.68171,             0.37845,            0.027134,           0.0037299,           0.0038486,            0.002278,            0.002278,            0.002278
                  41,            0.038021,           0.0058367,           0.0057283,             0.70315,             0.60142,             0.70026,              0.3946,            0.027289,           0.0036516,           0.0037494,             0.00208,             0.00208,             0.00208
                  42,            0.033136,           0.0048932,           0.0055869,             0.71149,             0.59942,             0.70357,             0.37305,            0.024715,           0.0037135,           0.0037163,            0.001882,            0.001882,            0.001882
                  43,            0.042372,           0.0063697,            0.005762,             0.66257,             0.60582,             0.67922,             0.39775,             0.02693,           0.0036107,           0.0036216,            0.001684,            0.001684,            0.001684
                  44,            0.038413,           0.0055487,           0.0058801,             0.70052,             0.64693,             0.70466,             0.42181,            0.025099,           0.0036207,            0.003516,            0.001486,            0.001486,            0.001486
                  45,            0.034228,           0.0053674,           0.0055817,             0.69597,             0.62933,             0.69717,             0.42141,            0.023311,           0.0036397,           0.0034521,            0.001288,            0.001288,            0.001288
                  46,            0.032754,           0.0057104,           0.0054578,             0.71755,             0.63099,             0.71343,             0.42795,            0.023009,           0.0036273,            0.003399,             0.00109,             0.00109,             0.00109
                  47,            0.033107,           0.0061977,           0.0048993,             0.73798,             0.62679,             0.69546,             0.42367,            0.021941,           0.0036092,           0.0033192,            0.000892,            0.000892,            0.000892
                  48,            0.030284,           0.0049679,           0.0062205,             0.72696,             0.63616,             0.69893,             0.42954,             0.02239,           0.0035832,           0.0032904,            0.000694,            0.000694,            0.000694
                  49,            0.030207,           0.0052372,           0.0061519,             0.72905,             0.63542,             0.70526,              0.4337,             0.02181,           0.0035698,           0.0032862,            0.000496,            0.000496,            0.000496
